date,feature_1,1_open_tomorrow,1_open_2tomorrow
2008-06-04,1,14392.6,14530.4
2008-06-05,1,14530.4,14275.3
2008-06-06,1,14275.3,14281.4
2008-06-09,1,14281.4,14137.5
2008-06-10,1,14137.5,14010.3
2008-06-11,1,14010.3,14011.1
2008-06-12,1,14011.1,14118.2
2008-06-13,1,14118.2,14387.0
2008-06-16,1,14387.0,14301.4
2008-06-17,1,14301.4,14324.7
2008-06-18,1,14324.7,14171.0
2008-06-19,1,14171.0,13769.4
2008-06-20,1,13769.4,13766.3
2008-06-23,1,13766.3,13820.8
2008-06-24,1,13820.8,13845.4
2008-06-25,1,13845.4,13605.3
2008-06-26,1,13605.3,13584.5
2008-06-27,1,13584.5,13514.9
2008-06-30,1,13514.9,13489.9
2008-07-01,1,13489.9,13161.8
2008-07-02,1,13161.8,13285.5
2008-07-03,1,13285.5,13212.8
2008-07-04,1,13212.8,13286.5
2008-07-07,1,13286.5,13169.9
2008-07-08,1,13169.9,12934.3
2008-07-09,1,12934.3,13063.5
2008-07-10,1,13063.5,13022.3
2008-07-11,1,13022.3,12902.1
2008-07-14,1,12902.1,12725.1
2008-07-15,1,12725.1,12889.8
2008-07-16,1,12889.8,12976.2
2008-07-17,1,12976.2,12944.6
2008-07-18,1,12944.6,13259.7
2008-07-22,1,13259.7,13411.3
2008-07-23,1,13411.3,13452.4
2008-07-24,1,13452.4,13407.4
2008-07-25,1,13407.4,13220.3
2008-07-28,1,13220.3,13267.4
2008-07-29,1,13267.4,13410.4
2008-07-30,1,13410.4,13276.6
2008-07-31,1,13276.6,13083.3
2008-08-01,1,13083.3,12957.0
2008-08-04,1,12957.0,13059.4
2008-08-05,1,13059.4,13258.0
2008-08-06,1,13258.0,13026.5
2008-08-07,1,13026.5,13259.5
2008-08-08,1,13259.5,13398.0
2008-08-11,1,13398.0,13205.6
2008-08-12,1,13205.6,12942.6
2008-08-13,1,12942.6,12991.9
2008-08-14,1,12991.9,12971.5
2008-08-15,1,12971.5,13016.5
2008-08-18,1,13016.5,12754.0
2008-08-19,1,12754.0,12885.3
2008-08-20,1,12885.3,12727.4
2008-08-21,1,12727.4,12797.5
2008-08-22,1,12797.5,12711.0
2008-08-25,1,12711.0,12734.4
2008-08-26,1,12734.4,12827.7
2008-08-27,1,12827.7,12925.5
2008-08-28,1,12925.5,12936.8
2008-08-29,1,12936.8,12779.9
2008-09-01,1,12779.9,12703.4
2008-09-02,1,12703.4,12627.6
2008-09-03,1,12627.6,12385.7
2008-09-04,1,12385.7,12359.9
2008-09-05,1,12359.9,12530.0
2008-09-08,1,12530.0,12249.1
2008-09-09,1,12249.1,12237.5
2008-09-10,1,12237.5,12256.8
2008-09-11,1,12256.8,12028.5
2008-09-12,1,12028.5,11737.6
2008-09-16,1,11737.6,11576.9
2008-09-17,1,11576.9,11631.6
2008-09-18,1,11631.6,12037.9
2008-09-19,1,12037.9,12032.0
2008-09-22,1,12032.0,11925.7
2008-09-24,1,11925.7,12026.3
2008-09-25,1,12026.3,11883.2
2008-09-26,1,11883.2,11565.7
2008-09-29,1,11565.7,11396.6
2008-09-30,1,11396.6,11423.1
2008-10-01,1,11423.1,11052.1
2008-10-02,1,11052.1,10817.3
2008-10-03,1,10817.3,10328.5
2008-10-06,1,10328.5,10011.6
2008-10-07,1,10011.6,9168.16
2008-10-08,1,9168.16,9016.34
2008-10-09,1,9016.34,8407.94
2008-10-10,1,8407.94,9390.5
2008-10-14,1,9390.5,9400.85
2008-10-15,1,9400.85,8579.57
2008-10-16,1,8579.57,8775.24
2008-10-17,1,8775.24,9139.26
2008-10-20,1,9139.26,9198.14
2008-10-21,1,9198.14,8547.79
2008-10-22,1,8547.79,8391.04
2008-10-23,1,8391.04,7568.36
2008-10-24,1,7568.36,7143.34
2008-10-27,1,7143.34,7741.52
2008-10-28,1,7741.52,8269.71
2008-10-29,1,8269.71,8958.22
2008-10-30,1,8958.22,8702.77
2008-10-31,1,8702.77,9224.05
2008-11-04,1,9224.05,9373.65
2008-11-05,1,9373.65,8774.49
2008-11-06,1,8774.49,8711.99
2008-11-07,1,8711.99,8965.29
2008-11-10,1,8965.29,8694.91
2008-11-11,1,8694.91,8564.47
2008-11-12,1,8564.47,8378.13
2008-11-13,1,8378.13,8366.88
2008-11-14,1,8366.88,8415.6
2008-11-17,1,8415.6,8309.35
2008-11-18,1,8309.35,8149.77
2008-11-19,1,8149.77,7600.35
2008-11-20,1,7600.35,8026.06
2008-11-21,1,8026.06,8229.72
2008-11-25,1,8229.72,8311.24
2008-11-26,1,8311.24,8400.05
2008-11-27,1,8400.05,8464.36
2008-11-28,1,8464.36,8266.32
2008-12-01,1,8266.32,7965.31
2008-12-02,1,7965.31,8030.2
2008-12-03,1,8030.2,7975.05
2008-12-04,1,7975.05,7970.69
